,title,longitude,latitude
0,피오니,304864,550313
1,aA,126.92121864555592,37.54926778334668
2,플레이스요 홍대본점,305200,550956
3,마망갸또홍대점,304655,550492
4,마망갸또,126.91912540149096,37.55064913194893
5,제라스카페,304935,550278
6,카페히비,305401,550870
7,앨리스와 도로시 ,126.9256844901502,37.55625591733511
8,그리다꿈 미니,305231,550641
9,물고기,304716,550212
10,베리베리,305067,550584
11,캐슬프라하 홍대점,304968,550172
12,카페히비,305409,550938
13,앨리스와 도로시,305359,550935
14,티테라스,305509,550864
15,CHURRO101,305546,550867
16,와플반트 홍대상수점,304883,550170
17,순이네다락방,304838,550378
18,올개닉카페,305190,550848
19,딩동,305304,551006
20,카페 아뜨레,305167,550715
21,수카라,126.928673919619,37.55575309428744
22,봉주르 하와이,126.91919043303312,37.55069967446461
23,샌드파크,305401,551136
24,카페베를린,305564,550741
25,에코브릿지커피,304018,550886
26,헬로키티카페 홍대직영점,305069,550814
27,몹시,126.92668029972428,37.55460129991766
28,써니네,305259,551043
29,딩동,305331,550822
30,호호미욜,305049,550131
31,서울특별시 마포구 서교동 347-14,305245,550999
32,토끼의 지혜,304664,550212
33,옥루봉:경성팥집,304846,550117
34,카페히비,126.92913849972427,37.55458649991765
35,게으른고양이,304773,550288
36,405키친,304830,550340
37,마망갸또홍대점,304903,550716
38,스노브,305020,550172
39,카페 오븐,305341,550804
40,땡스네이쳐카페,305128,550669
41,Belief Coffee,305276,550905
42,몹시,305364,550810
43,서울특별시 마포구 서교동 397-11,304468,550302
44,빌리엔젤,305206,550629
45,그리다꿈 미니,305195,550627
46,커피리브레,304919,551770
47,카페리브레,305367,551667
48,Chocolatyum,305005,550574
49,카페 슬로비,305009,550857
50,비터스윗나인,304582,550299
51,커피앤에이,304980,550859
52,카페 AA 홍대점,304903,550282
53,퍼블리크,126.92196269972426,37.54864639991767
54,이리카페,126.92158869972424,37.54586149991766
55,Mon Cafe Gregory,304666,550153
56,피스피스,304504,550272
57,스노우 스푼,304984,550308
58,서울특별시 마포구 동교동,305174,551288
59,위드베베,304967,550981
60,닭날다,305098,550459
61,함께하는 고양이수다,126.9250262484142,37.55633362646667
62,설탕,304976,550516
63,코나빈스홍대점,304902,550923
64,카페소스,126.9243452961257,37.55359137874915
65,손끝세상,305625,550781
66,imi,305053,551080
67,에또네,305383,550795
68,커피렉,305095,550377
69,카페 UFF,304584,550312
70,은하수다방,304666,550319
71,은하수다방,304773,550273
72,바우하우스,304363,550334
73,작업실,304913,550225
74,서울특별시 마포구 합정동 355-14,304603,550230
75,조이스까페,305385,550815
76,카페 이누,304688,550172
77,츄로101,305351,551014
78,제너럴닥터,305052,550508
79,커피앤드에이,304819,550799
80,스노우 스푼,304916,550461
81,서울특별시 마포구 서교동 411-16,304986,550268
82,CocoBruni홍대점,305170,551044
83,서울특별시 마포구 서교동 405-13,304652,550508
84,서울특별시 마포구 서교동 405-13,304972,550445
85,러브인러브,305078,550975
86,카페소스,305162,550654
87,서울특별시 마포구 서교동 394-44,304395,550348
88,스노우 스푼,304910,550458
89,키세키 홍대본점,305188,551016
90,누들박스 홍대점,305086,550911
91,클로리스 홍대점,126.92419391869284,37.554574004317175
92,공주가사는궁전같은,305005,550549
93,델차이,305082,550850
94,카페 에토네,305368,550775
95,카페 스케치북,304765,550900
96,인문까페 창비,304722,550577
97,윙스터디,306181,550865
98,홍대 헤라,305344,550944
99,후안스츄로,304682,550188
100,함박식당,304866,550150
101,더페이머스램,304876,551150
102,LEPETITFOUR,305059,550296
103,럭키스트라이크,304519,550249
104,비 스위트 온,305266,550913
105,2층 아벡누 ,313857,546792
106,스노우 스푼,304910,550458
107,라비앙봉봉,126.91878146726424,37.54957020792932
108,에뚜와,304621,550292
109,홍대티앤지,304960,550763
110,유진,305267,550901
111,헤이독,348873,414168
112,,310176,553740
113,서울특별시 마포구 서교동 401-20,304708,550197
114,히노키공방,305095,550717
115,스노브,305018,550273
116,,305170,551044
117,청량리원조골뱅이전문점,305715,550836
118,커피미,305689,550784
119,이제라면만먹고살수있다,305095,550717
120,비 스위트 온,305354,550902
121,허니보울,304768,550122
122,툭툭,304983,550516
123,애너벨리,126.92506476694928,37.555722971555205
124,비 스위트 온,305292,550920
125,한잔의룰루랄라,305222,551086
126,나물 먹는 곰,304761,550341
127,BINGBINGBING,304685,550293
128,카페 UFF,304584,550312
129,바우하우스,304395,550348
130,쏭크란에피소드,305179,550834
131,김장독,305187,551062
132,aA 디자인 뮤지엄,126.92124809972428,37.54956659991766
133,봉주르 하와이,126.91975729972428,37.55059429991765
134,미미네,304734,550248
135,키세키 홍대본점,305132,551021
136,옥상달빛,305016,550344
137,cafeaA(뮤지엄카페),304883,550259
138,럭키스트라이크,304622,550152
139,그릴파이브타코 홍대점,304916,550248
140,닭날다,305068,550413
141,Cafe The Air,304608,550639
142,I am A burger,126.92979278046832,37.55462320621811
143,캣츠리빙,126.92233949972429,37.553251699917645
144,Cafe 129-11,305618,552185
145,데코아 발림,126.9223564997243,37.54964069991765
146,티뽁,305121,550461
147,토마스터,305018,550865
148,서울특별시 강남구 논현동 233-4,314988,545518
149,트릭아이미술관,304999,550809
150,로스꼬꼬 홍대점,305048,550621
151,비너스키친,304941,550628
152,에스파냐,305147,550561
153,리본윈도우,304713,550513
154,메리고라운드스테이크키친 홍대점,304915,550806
155,커피팝,304180,550062
156,월향,305507,550864
157,써니 더 그릴,304858,550157
158,트릭아이미술관,304931,550723
159,앤트러사이트 커피로스터,304617,549842
